Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Nacionalidad,Provincia,Canton,
ROBO DE VEHICULO,POR CONFIANZA,2018-11-29,00:00:00 - 02:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO DE VEHICULO,POR CONFIANZA,2018-12-29,06:00:00 - 08:59:59,VEHICULO,MOTOCICLETA [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-01-28,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-02-14,18:00:00 - 20:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-03-02,18:00:00 - 20:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-03-04,15:00:00 - 17:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-04-04,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-04-19,12:00:00 - 14:59:59,VEHICULO,MICROBUS [VEHICULO],Menor de edad,HOMBRE,CANADA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-05-20,00:00:00 - 02:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Desconocido,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-05-20,00:00:00 - 02:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Desconocido,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
